Gene	Set	Cluster	Annotation
ABCC3	E	E	E
ABHD11	E	E	E
ADAP1	E	E	E
AGR2	E	E	E
AIM1	E	E	E
AKR1B10	E	E	E
ALDH3B2	E	E	E
ALOX5	E	E	E
ANK2	E	E	M
ANK3	E	E	E
ANXA4	E	E	E
ANXA9	E	E	E
AP1M2	E	E	E
AQP3	E	E	E
ARAP2	E	E	E
AREG	E	E	E
ARHGAP8	E	E	E
ARHGDIB	E	E	E
ARHGEF5	E	E	E
ATP2C2	E	E	E
AZGP1	E	E	E
B3GNT3	E	E	E
BCAS1	E	E	E
BIK	E	E	E
BLNK	E	E	E
BSPRY	E	E	E
C1orf106	E	E	E
C1orf116	E	E	E
C1orf54	E	E	M
C4orf19	E	E	E
CAMK2N1	E	E	E
CAPN1	E	E	E
CAV1	E	E	M
CBLC	E	E	E
CD2AP	E	E	E
CD46	E	E	E
CD9	E	E	E
CDH1	E	E	E
CDH3	E	E	E
CDS1	E	E	E
CEACAM1	E	E	E
CEACAM5	E	E	E
CEACAM6	E	E	E
CLDN4	E	E	E
CLDN7	E	E	E
CLEC2B	E	E	M
CNKSR1	E	E	E
COL14A1	E	E	M
COMT	E	E	E
CORO2A	E	E	E
CRISPLD2	E	E	M
CSF2RB	E	E	M
CSRP2	E	E	M
CTSH	E	E	E
CXADR	E	E	E
CYP4F3	E	E	E
DDR1	E	E	E
DENND2D	E	E	E
DHCR24	E	E	E
DPYSL3	E	E	M
DSC2	E	E	E
DSG2	E	E	E
DSP	E	E	E
DTX4	E	E	E
EHF	E	E	E
ELF3	E	E	E
ELMO3	E	E	E
EPB41L4B	E	E	E
EPCAM	E	E	E
EPHA1	E	E	E
EPN3	E	E	E
EPS8L1	E	E	E
EPS8L2	E	E	E
ERBB2	E	E	E
ERBB3	E	E	E
ERMP1	E	E	E
ESRP1	E	E	E
ESRP2	E	E	E
ETV1	E	E	M
EVPL	E	E	E
EXPH5	E	E	E
EZR	E	E	E
F11R	E	E	E
FA2H	E	E	E
FGFR3	E	E	E
FLI1	E	E	M
FOXA1	E	E	E
FUT2	E	E	E
FUT3	E	E	E
FXYD3	E	E	E
GALE	E	E	E
GALNT3	E	E	E
GALNT7	E	E	E
GDF15	E	E	E
GIMAP6	E	E	M
GMDS	E	E	E
GPR56	E	E	E
GPRC5A	E	E	E
GPX2	E	E	E
GRB7	E	E	E
GRHL1	E	E	E
GRHL2	E	E	E
GRHL3	E	E	E
HDHD3	E	E	E
HES1	E	E	E
HPGD	E	E	E
ICA1	E	E	E
IFFO1	E	E	M
IL1RN	E	E	E
IL20RA	E	E	E
IRF6	E	E	E
ITGB4	E	E	E
JUP	E	E	E
KCNK1	E	E	E
KLF5	E	E	E
KLF8	E	E	M
KLK6	E	E	E
KRT15	E	E	E
KRT18	E	E	E
KRT19	E	E	E
KRT7	E	E	E
LAD1	E	E	E
LCN2	E	E	E
LLGL2	E	E	E
LOXL2	E	E	M
LRRC1	E	E	E
LSR	E	E	E
LY75	E	E	E
LY96	E	E	M
MALL	E	E	E
MAP7	E	E	E
MAPK13	E	E	E
MGST2	E	E	E
MPZL2	E	E	E
MST1R	E	E	E
MTUS1	E	E	E
MUC1	E	E	E
MYH10	E	E	M
MYO1D	E	E	E
MYO5C	E	E	E
MYO6	E	E	E
NQO1	E	E	E
OAS1	E	E	E
OCLN	E	E	E
OR7E14P	E	E	E
OVOL1	E	E	E
OVOL2	E	E	E
PERP	E	E	E
PHLDA2	E	E	E
PKP3	E	E	E
PLLP	E	E	E
PLS1	E	E	E
POF1B	E	E	E
PPAP2C	E	E	E
PPFIBP2	E	E	E
PPL	E	E	E
PRR15L	E	E	E
PRSS8	E	E	E
PSCA	E	E	E
PTK6	E	E	E
PTPRC	E	E	M
PTPRF	E	E	E
PYCARD	E	E	E
RAB11FIP1	E	E	E
RAB20	E	E	E
RAB25	E	E	E
RABGAP1L	E	E	E
RAPGEFL1	E	E	E
RBM47	E	E	E
RHOD	E	E	E
RNF128	E	E	E
S100A14	E	E	E
S100P	E	E	E
SCEL	E	E	E
SCNN1A	E	E	E
SDC1	E	E	E
SDC4	E	E	E
SERINC5	E	E	E
SFN	E	E	E
SFRP1	E	E	M
SH2D3A	E	E	E
SH3YL1	E	E	E
SHANK2	E	E	E
SLC16A5	E	E	E
SLC22A18	E	E	E
SLC2A3	E	E	M
SLC35A3	E	E	E
SLC37A1	E	E	E
SLC44A4	E	E	E
SLC9A3R1	E	E	E
SLIT2	E	E	M
SLPI	E	E	E
SORD	E	E	E
SORL1	E	E	E
SPAG1	E	E	E
SPDEF	E	E	E
SPINT1	E	E	E
SPINT2	E	E	E
SSH3	E	E	E
ST14	E	E	E
STAP2	E	E	E
STYK1	E	E	E
SYNGR2	E	E	E
TACSTD2	E	E	E
TFF1	E	E	E
TGFA	E	E	E
TJP2	E	E	E
TJP3	E	E	E
TMC5	E	E	E
TMC6	E	E	E
TMEM30B	E	E	E
TMPRSS4	E	E	E
